amplitude,time
132.87686000947556,0.008795976638793945
158.2740928250067,0.017576932907104492
183.7670041423625,0.02281808853149414
209.23554276750016,0.02808690071105957
234.55397578865959,0.03347492218017578
259.59142208245794,0.038786888122558594
284.21251329863486,0.04398488998413086
308.2781883878765,0.04919004440307617
331.64662406651865,0.054426908493041985
354.17429957718963,0.059606075286865234
375.7171898559871,0.06485700607299805
396.13207691010325,0.07016301155090332
415.2779649989244,0.07548999786376953
433.0175812450812,0.08079099655151367
449.21893972065436,0.08614492416381836
463.7569439883146,0.09143710136413574
476.51500064412943,0.09674596786499023
487.38661470618285,0.10201597213745116
496.2769367932035,0.10730791091918944
503.1042319736261,0.11261987686157228
507.8012409230825,0.11791491508483888
510.3164055470517,0.1231689453125
510.6149334064468,0.128403902053833
508.6796779951386,0.1336379051208496
504.5118150174093,0.13888907432556152
498.13129818709626,0.14414596557617188
489.5770816553005,0.14934492111206055
478.9070999428582,0.15447592735290527
466.1980001937406,0.15958905220031738
451.54462566157656,0.1647028923034668
435.0592535688549,0.1698169708251953
416.87059478771033,0.17492890357971191
397.1225670898462,0.18004107475280762
375.97285786310135,0.18515491485595706
353.59129603834253,0.19026803970336914
330.15805637917566,0.19538402557373047
305.86172216637505,0.2005019187927246
280.89723460614124,0.20561599731445312
255.46375898085103,0.21073102951049805
229.76249863471713,0.21584391593933105
203.99448835036256,0.2209560871124268
178.35839854531704,0.2260670661926269
153.04838103348018,0.2311809062957764
128.2519859012197,0.2362930774688721
104.14817739371956,0.2414050102233887
80.90547465032013,0.24666690826416016
58.68024072663952,0.25192689895629883
37.61514065788014,0.2571899890899658
17.837786413162735,0.2624170780181885
-0.5404164762167982,0.2677040100097656
-17.42520900311963,0.2729589939117432
-32.74019709295186,0.27823305130004883
-46.427343156852075,0.2835268974304199
-58.44722878162122,0.28881311416625977
-68.77908963460227,0.2940828800201416
-77.42062662917242,0.2993509769439697
-84.38760021142906,0.3045198917388916
-89.713217263658,0.30968809127807617
-93.44732255373293,0.3148930072784424
-95.65540887149076,0.3200368881225586
-96.41746196339437,0.32523202896118164
-95.8266580889292,0.33042001724243164
